"A",40.255,"4/4/2016","10:48am",-0.055,40.320,40.520,40.180,628445
"AA",9.565,"4/4/2016","10:49am",-0.065,9.580,9.765,9.460,7165764
"AAL",40.0801,"4/4/2016","10:48am",+0.5601,39.8100,40.2400,39.1511,2686890
"AAP",160.11,"4/4/2016","10:49am",-0.31,161.21,164.13,159.71,346782
"AAPL",111.715,"4/4/2016","10:49am",+1.725,110.410,112.190,110.270,13811844
"ABBV",58.68,"4/4/2016","10:49am",+1.26,57.64,58.90,57.49,1546105
"ABC",87.43,"4/4/2016","10:49am",+0.92,86.74,87.54,86.61,486993
"ABT",42.465,"4/4/2016","10:49am",+0.275,42.340,42.565,42.160,813683
"ACN",115.14,"4/4/2016","10:49am",-1.21,116.08,116.20,115.12,587757
"ADBE",94.60,"4/4/2016","10:49am",-0.56,95.42,96.28,94.56,732313
"ADI",58.77,"4/4/2016","10:48am",-0.21,58.97,58.97,58.69,224411
"ADM",36.44,"4/4/2016","10:49am",-0.03,36.33,36.53,36.02,524525
"ADP",89.87,"4/4/2016","10:49am",-0.39,90.08,90.40,89.85,309962
"ADS",219.39,"4/4/2016","10:48am",-1.73,221.20,221.58,219.26,51875
"ADSK",58.46,"4/4/2016","10:49am",+0.69,57.80,58.55,57.01,377785
"ADT",41.32,"4/4/2016","10:48am",+0.00,41.30,41.37,41.30,712514
"AEE",50.63,"4/4/2016","10:49am",+0.09,50.57,51.06,50.37,659269
"AEP",66.4201,"4/4/2016","10:49am",-0.5899,67.0700,67.1900,66.2100,337903
"AES",11.515,"4/4/2016","10:49am",-0.055,11.560,11.655,11.470,854953
"AET",113.13,"4/4/2016","10:49am",-0.58,113.48,113.69,112.61,401535
"AFL",63.88,"4/4/2016","10:48am",-0.24,64.14,64.15,63.84,257556
"AGN",274.04,"4/4/2016","10:49am",+5.95,268.86,274.25,268.50,775686
"AIG",54.55,"4/4/2016","10:49am",-0.34,54.88,54.90,54.54,946358
"AIV",42.11,"4/4/2016","10:48am",+0.08,42.02,42.17,41.84,203368
"AIZ",77.83,"4/4/2016","10:48am",-0.28,78.08,78.38,77.82,97837
"AKAM",55.59,"4/4/2016","10:48am",+0.37,55.17,55.84,54.76,185106
"ALL",68.01,"4/4/2016","10:49am",-0.22,68.15,68.24,67.94,170815
"ALLE",65.24,"4/4/2016","10:48am",-0.14,65.37,65.84,65.24,120698
"ALXN",146.435,"4/4/2016","10:49am",+3.495,143.480,147.350,143.090,499665
"AMAT",21.365,"4/4/2016","10:49am",-0.055,21.350,21.460,21.300,1766747
"AME",49.54,"4/4/2016","10:49am",-0.57,50.17,50.17,49.39,256927
"AMG",163.22,"4/4/2016","10:48am",-0.67,164.16,164.17,162.65,53532
"AMGN",154.67,"4/4/2016","10:49am",+0.51,154.00,155.44,153.70,648527
"AMP",93.47,"4/4/2016","10:48am",-1.20,94.37,94.37,93.34,171576
"AMT",104.48,"4/4/2016","10:48am",-0.02,104.70,104.88,104.12,209500
"AMZN",594.455,"4/4/2016","10:49am",-4.045,599.000,599.500,592.570,860276
